EWX,HYEM,HYG,IEF,IJR,IWM,LQD,SPY,VEA,VNQ,VNQI,VSS,VTV,VWO,VWOB
-0.0052761436,-0.030930888,-0.002839827,-0.009309588,0.013560937,0.04370544,0.00035421364,0.021354709,0.008133505,-0.006716936,0.0056458423,0.020577002,0.019961035,0.040967774,-0.020860752
0.018782651,0.025748122,0.028108882,0.049832102,0.02157182,0.0036310852,0.043659754,0.009696642,0.037601806,0.014107947,0.0626262,0.03726676,-0.00021379441,0.016187502,0.018487755
0.02831642,0.014978064,-0.006207943,-0.03037049,-0.004044799,0.020680688,-0.008572006,0.06018957,0.027358297,0.007536377,-0.0061068255,0.017605009,0.036251776,0.011821417,-0.0050301277
-0.018517388,-0.019188643,-0.0035660733,0.004020106,0.028856054,0.01387965,0.010651384,-0.026071485,-0.0009960011,-0.021116972,-0.032847155,-0.011949791,-0.02990347,0.009428959,-0.0072353543
-0.0067329686,0.0069041755,0.027995367,0.011923612,0.017530477,-0.0525935,-0.008938329,0.011489689,0.033870056,-0.017631408,0.004965217,0.041615017,0.0084844045,0.025803331,-0.010725409
-0.029549735,-0.008908236,-0.0034764549,0.0013996318,0.053017557,0.11181334,0.0027685666,0.0285305,0.024657924,-0.016502455,0.024616253,0.0005807411,0.06731964,-0.051407438,0.0059821648
0.0187332,0.038812555,0.011045519,-0.0034705761,0.045216102,-0.011911109,0.0071928147,0.02547323,0.024142314,0.032540057,0.04117391,0.049342446,0.034918733,0.06975297,0.026257927
0.021565657,0.02033848,0.035303578,0.038740575,0.017422171,-0.07794556,0.047751576,0.011310741,0.030770723,0.0629148,0.076943606,0.02648871,0.051857173,0.029951744,0.0358114
0.0010096384,-0.021297377,-0.0041647498,0.016616313,-0.050678037,0.053006835,-0.010400976,0.0101605775,0.0002603121,-0.02195346,0.0041120276,0.021168943,0.014753008,0.05989804,-0.022722473
-0.02559035,-0.02847787,0.0066805035,0.003336336,0.10010144,-0.015831964,-0.015163793,-0.0038775261,-0.015636679,-0.025575783,-0.0045455247,-0.0041611083,-0.032005727,-0.007021496,-0.03253026
0.021939622,-0.03569075,0.0014295725,0.02167471,0.058590587,0.0060014427,0.0083586,-0.008639533,-0.012243796,0.025912054,0.02826463,-0.0058078356,0.043080654,-0.027356625,-0.009607274
-0.03174843,0.04504564,0.02534547,0.032355733,0.1153624,0.07198475,0.0141081605,0.07733314,0.036133997,0.065208666,0.019050095,0.041999176,0.08125336,0.046161823,0.034011148
0.05292742,-0.024256129,0.009532773,0.0001344243,0.037709385,-0.011251323,-0.014595664,0.027248852,0.0565303,0.016886303,0.0105749965,0.05919501,0.025508685,0.018498965,-0.016947618
-0.00031371042,-0.009178342,-0.012973949,-0.0060125347,0.026350478,0.04479298,-0.011053176,0.017583163,0.038122915,0.016824704,0.010298632,0.034101125,0.042252723,0.00568182,-0.00030537834
0.011176601,-0.008038505,0.0045692576,0.0027716532,0.015323387,-0.018990418,0.0038772144,-0.028366633,-0.018605843,-0.008174398,-0.005369857,-0.023112623,-0.008201497,-0.042534344,0.009035233
0.038883734,-0.014129323,0.019473504,-0.026835967,0.021953683,0.031101814,-0.0018133828,0.011820763,0.058935225,-0.008052538,0.030063704,0.049662426,0.048601024,0.016600465,-0.003096132
0.025582217,0.0057793385,-0.017403759,0.0096263485,-0.0076234043,-0.048639335,-0.00960356,0.0063041644,0.017294789,-0.026515353,-0.0020767096,0.021226346,-0.030970847,0.046887465,-0.012027979
0.018385079,0.008313673,0.0054848413,0.00123727,-0.0072586015,0.01934869,0.0016037715,0.0075469296,0.025590282,-0.0011548782,0.07537286,0.042833097,0.011311209,0.07615344,0.002193492
0.026204053,-0.020935997,-0.0081515275,-0.00662019,0.072938636,-0.04754649,0.015231674,-0.007289253,0.007058529,-0.054021537,0.016469173,0.016405934,-0.00045447424,-0.011217903,-0.017438844
